verb,match,definition
Parental,protection of offspring behavior,During parental behavior animals may exhibit nurturing and protective gestures such as birds covering their nestlings with their wings or feeding them.
Feeding,chewing,When feeding animals may show a focused posture such as picking up food with their mouths or paws or bending down to eat attentively.
Urinating,behavioral control of urination,When animals urinate they may lift their tails arch their bodies or lift a leg during the process.
Resting,resting posture,While resting animals may find a comfortable spot curl up their bodies close their eyes or lazily lie down on the ground.
Circumanal Gland Signing,nonverbal communication behavior,During circumanal gland signing animals may rub the ground with their hind legs to release specific scent marks for territory or communication.
Playing,playing behavior,During play animals may jump run chase or play-fight displaying lively and excited gestures.
Urine Signing,nonverbal communication behavior,When urine signing animals may leave scent marks on the ground or other objects using urine to indicate territory or communicate information.
Defecating,behavioral control of defecation,While defecating animals may squat down raise their tails and defecate on the ground or in a specific area.
Grooming,grooming behavior,During grooming animals may clean their fur or feathers using their tongues or paws to maintain cleanliness and neatness.
Walking,walking behavior,While walking animals may move their limbs alternately maintaining balance and moving in a specific direction.
Exploratory,exploration behavior,During exploration animals may touch sniff or explore the surrounding environment with their noses mouths or paws to understand new things.
Aggregation,social behavior,When animals aggregate they may move collectively forming groups or queues to protect or seek resources.
Drink Water,licking,When drinking water animals may lick water with their mouths or tongues or bend down to drink with their mouths.
Smelling,exploration behavior,While smelling animals may press their noses close to the ground or specific objects inhaling deeply to understand the surrounding environment or find food.
Trotting,terrestrial locomotory behavior,While trotting animals may move their limbs quickly but not as fast as running maintaining a relaxed rhythm.
Climbing,climbing behavior,While climbing animals may grip surfaces with their claws or feet stretching and contracting their bodies to climb trees or other structures.
Amusing,pleasure behavior,When animals are amused they may sway their bodies wag their tails or make cheerful sounds displaying a happy and excited posture.
Mounting,mating behavior,During mating animals may take specific postures such as males jumping onto females' backs.
Jumping,jumping behavior,When jumping animals may push off with their hind legs lifting their entire bodies off the ground to move quickly or overcome obstacles.
Foraging,exploration behavior,While foraging animals may search and gather food with their mouths or paws such as looking for plants in grasslands or hunting insects on the ground.
